Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,74,16,M:System.Windows.Forms.MessageBox.Show(System.String),,,,,MessageBox.Show(AccessDeniedMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,F:System.Windows.Forms.MessageBoxIcon.Information,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,70,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(content, ""File Content"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,57,16,T:System.Windows.Forms.MessageBox,,,,,MessageBox.Show(AccessDeniedMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,57,16,T:System.Windows.Forms.DialogResult,,,,,MessageBox.Show(AccessDeniedMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Services\FileService.cs,57,16,M:System.Windows.Forms.MessageBox.Show(System.String),,,,,MessageBox.Show(AccessDeniedMessage);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Settings.Designer.cs,16,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Settings.Designer.cs,16,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""user"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap user
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""password"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap password
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,35,16,M:System.Windows.Forms.Form.Close,,,,,"loginForm.FormClosed += (s, ec) => this.Close();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,35,16,T:System.Windows.Forms.FormClosedEventHandler,,,,,"loginForm.FormClosed += (s, ec) => this.Close();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,35,16,T:System.Windows.Forms.FormClosedEventHandler,,,,,"loginForm.FormClosed += (s, ec) => this.Close();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,35,16,E:System.Windows.Forms.Form.FormClosed,,,,,"loginForm.FormClosed += (s, ec) => this.Close();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,34,16,M:System.Windows.Forms.Control.Hide,,,,,this.Hide();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,32,16,M:System.Windows.Forms.Control.Show,,,,,loginForm.Show();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,30,16,T:System.Windows.Forms.ComboBox,,,,,CurrentModel = (AccessModel)ModelCombo.SelectedItem;
